optimizer,lr,batch_size,val_accuracy
SGD,0.001,32,0.9275184275184275
Adam,0.001,32,0.9954735409189996
RMSprop,0.001,32,0.9969075892517317
SGD,0.001,64,0.9184912685045652
Adam,0.001,64,0.9909523809523809
RMSprop,0.001,64,0.9940476190476191
SGD,0.001,128,0.9187018414522659
Adam,0.001,128,0.9744283302639656
RMSprop,0.001,128,0.9867179824686907
SGD,0.01,32,0.9752607140138541
Adam,0.01,32,1.0
RMSprop,0.01,32,1.0
SGD,0.01,64,0.9664187330464205
Adam,0.01,64,1.0
RMSprop,0.01,64,1.0
SGD,0.01,128,0.9412093735280264
Adam,0.01,128,1.0
RMSprop,0.01,128,1.0
SGD,0.1,32,0.998567335243553
Adam,0.1,32,1.0
RMSprop,0.1,32,1.0
SGD,0.1,64,0.9954735409189996
Adam,0.1,64,1.0
RMSprop,0.1,64,1.0
SGD,0.1,128,0.9909523809523809
Adam,0.1,128,1.0
RMSprop,0.1,128,1.0
